fraud_category,risk_level,vendor_id,vendor_name,invoice_id_original,invoice_id_suspect,posting_gap_days,amount_difference_pct,exposure_jpy,event_month
Duplicate Invoices,High,VEND036,Akita Sake Distributors,INV000392,INV000587,22,0,1584000,2025-11
Duplicate Invoices,High,VEND006,Kyoto Organic Farms,INV000039,INV000595,18,0,1498000,2025-03
Duplicate Invoices,High,VEND006,Kyoto Organic Farms,INV000448,INV000574,10,0,1493000,2025-12
Duplicate Invoices,High,VEND021,Kumamoto Wagyu Foods,INV000374,INV000580,5,0,1468000,2025-10
Duplicate Invoices,High,VEND003,Kansai Linen Service,INV000021,INV000586,20,0,1447000,2025-03
Duplicate Invoices,High,VEND023,Sendai Linen Works,INV000411,INV000477,27,0.0091,1413000,2026-01
Duplicate Invoices,High,VEND040,Daikanyama Design Studio,INV000256,INV000266,6,0.0181,1412000,2025-08
Duplicate Invoices,High,VEND037,Yamanashi Wine Merchants,INV000184,INV000599,12,0,1404000,2025-07
Duplicate Invoices,High,VEND012,Aomori Apple Growers,INV000012,INV000007,8,0.0145,1364000,2025-02
Duplicate Invoices,High,VEND044,Asakusa Carpentry Works,INV000381,INV000510,10,0.0388,1361000,2025-11
Duplicate Invoices,High,VEND001,Sakura Seafood Co.,INV000379,INV000391,1,0.0373,1342000,2025-10
Duplicate Invoices,High,VEND036,Akita Sake Distributors,INV000512,INV000589,14,0,1329000,2025-05
Duplicate Invoices,High,VEND041,Narita Import Foods,INV000101,INV000110,8,0.0112,1327000,2025-04
Duplicate Invoices,High,VEND025,Hakone Spa Consultants,INV000113,INV000592,9,0,1301000,2025-05
Duplicate Invoices,High,VEND042,Uji Tea Suppliers,INV000442,INV000404,5,0.0378,1299000,2025-11
Duplicate Invoices,High,VEND013,Kobe Premium Linens,INV000200,INV000591,6,0,1254000,2025-07
Duplicate Invoices,High,VEND044,Asakusa Carpentry Works,INV000347,INV000332,7,0.012,1235000,2025-10
Duplicate Invoices,High,VEND012,Aomori Apple Growers,INV000072,INV000064,3,0.0138,1217000,2025-03
Duplicate Invoices,High,VEND009,Nagoya HVAC Engineering,INV000024,INV000049,11,0.0263,1183000,2025-03
Duplicate Invoices,High,VEND040,Daikanyama Design Studio,INV000271,INV000344,17,0.0094,1164000,2025-09
Duplicate Invoices,High,VEND040,Daikanyama Design Studio,INV000271,INV000334,20,0.0102,1163000,2025-09
Duplicate Invoices,High,VEND040,Daikanyama Design Studio,INV000344,INV000334,3,0.0009,1163000,2025-09
Duplicate Invoices,High,VEND037,Yamanashi Wine Merchants,INV000141,INV000162,28,0.0128,1158000,2025-05
Duplicate Invoices,High,VEND045,Kamakura Concierge Agency,INV000430,INV000594,25,0,1141000,2025-12
Duplicate Invoices,High,VEND004,Nippon Facility Maintenance,INV000269,INV000579,16,0,1110000,2025-08
Duplicate Invoices,High,VEND040,Daikanyama Design Studio,INV000204,INV000249,23,0.0237,1071000,2025-07
Duplicate Invoices,High,VEND015,Nara Cultural Events,INV000312,INV000307,20,0.0009,1054000,2025-09
Duplicate Invoices,High,VEND028,Biwa Resort Textiles,INV000109,INV000588,7,0,1029000,2025-04
Duplicate Invoices,High,VEND015,Nara Cultural Events,INV000272,INV000312,1,0.0493,1003000,2025-08
Duplicate Invoices,High,VEND015,Nara Cultural Events,INV000272,INV000307,21,0.0484,1003000,2025-09
Duplicate Invoices,High,VEND025,Hakone Spa Consultants,INV000516,INV000371,1,0.007,998000,2025-10
Duplicate Invoices,High,VEND044,Asakusa Carpentry Works,INV000185,INV000218,29,0.0101,977000,2025-07
Duplicate Invoices,High,VEND019,Sapporo Kitchen Equipment,INV000214,INV000244,26,0.0172,969000,2025-07
Duplicate Invoices,High,VEND015,Nara Cultural Events,INV000243,INV000272,27,0.0379,965000,2025-08
Duplicate Invoices,High,VEND026,Tsukiji Premium Foods,INV000490,INV000600,11,0,961000,2026-01
Duplicate Invoices,High,VEND025,Hakone Spa Consultants,INV000296,INV000309,0,0.0136,942000,2025-09
Duplicate Invoices,High,VEND024,Fukuoka Plumbing Systems,INV000295,INV000325,21,0.0011,930000,2025-09
Duplicate Invoices,High,VEND042,Uji Tea Suppliers,INV000466,INV000572,18,0,899000,2026-01
Duplicate Invoices,High,VEND031,Toyama Seafood Logistics,INV000488,INV000469,1,0.0431,889000,2026-01
Duplicate Invoices,High,VEND010,Yokohama Security Services,INV000198,INV000209,17,0.0432,819000,2025-07
Duplicate Invoices,High,VEND017,Miyagi Dry Goods,INV000473,INV000443,4,0.0098,806000,2025-12
Duplicate Invoices,High,VEND046,Sakura Seafoods Co.,INV000393,INV000597,9,0,802000,2025-11
Duplicate Invoices,High,VEND048,Kansai Linen Servise,INV000415,INV000596,4,0,792000,2025-11
Duplicate Invoices,High,VEND017,Miyagi Dry Goods,INV000423,INV000473,17,0.0344,786000,2025-12
Duplicate Invoices,High,VEND017,Miyagi Dry Goods,INV000423,INV000443,21,0.0248,786000,2025-12
Duplicate Invoices,High,VEND036,Akita Sake Distributors,INV000242,INV000577,13,0,738000,2025-08
